text,labels
momen ketika timnas indonesia kurang langkah gagal menuju ke olimpiade ketika coach shin nangis semua pemain langsung peluk coach shin taeyong kekeluargaan seperti ini yang nanti pasti dirindukan pemain thanks sty igrikkynugroho,positive
story watsap sty,positive
indonesia doesnt deserve sty at all federasi tolol,negative
bukan cuma sty doang inimah,negative
kayaknya bener gara ga sevisi sama pssi sty citacita sepakbola indo untuk jangka panjang pssi mau yang instan,negative
berikut adalah thread yang diperbarui dengan data statistik tentang shin taeyong shin taeyong evolusi sepak bola indonesia dengan data statistik shin taeyong atau sty menjadi pelatih kepala tim nasional indonesia sejak desember kontraknya awalnya tahun,neutral
sty gagal menang lawan bahrain rekrut yang justru keok lawan bahrain sudah dikasih diaspora kok gak juara rekrut ekspelatih tim full diaspora tapi juga belum pernah juara sty problematik orangnya rekrut yang pernah keseret kasus judi sumpah gak paham,negative
status wasape sty,neutral
komentar salah satu exco pssi terhadap coach sty di instagram komentarnya wahai netijen yang budiman,neutral
panggil aja tuh erick thohir kasi denger alasan gila apa mecat coach sty,negative
sty adalah kita bedanya cuma di jumlah gaji aja,neutral
keputusan besar dari erick thohir dan pssi untuk berpisah dengan sty di balik semua itu pasti ada pertimbangan matang berdasarkan dinamika internal dan bukan semata hasil di lapangan hanya waktu yang akan menjawab apakah keputusan pssi tepat atau menjadi sebuah blunder,negative
dipecatnya sty membuktikan kalo orang yang berprestasi lebih baik berkarir di luar negeri aja indons akan selalu alergi orang berprestasi,negative
pak erick tohir ini bisa tegas sama sty karena ga penuhi target tapi kenapa ga bisa tegas sama bumn yang kinerja nya masih minusminus ya,negative
thankyou coach sty,positive
thanks sty,positive
ya sudah lah ya pada akhirnya terimakasih sty hanya berharap pelatih baru diperlakukan dengan adil hal hal begini sudah pernah terjadi pada rd luis milla dan sekarang justru sty,negative
tahun dengan segala pencapaiannya yang bisa dibilang luar biasa dan sedang pada puncaknya lalu diberhentikan ibarat sudah mengudara lalu dipaksa landing untuk bongkar mesin lagi oh betapa menyesalnya nanti ketika kegagalan tersebut terjadi segala hormat untukmu sty,negative
setelah baca postingan para pemain saya malah mikir lagi ini isu ribut ruang ganti pemain gak cocok dengan strategi dan gak sepakat deng sty siapa jener aja nulis pesan sedih bener untuk sty apa karena sty gak mau di ajak ngobrol tgl desember jadi dipecat,negative
semoga program yg pssi bisa berjalan dengan baik kita harus support apapun keputusan pssi terima kasih coach sty,positive
kalau sty sampai dipecat gue akan inget nama orang di pssi dan jika mereka di pemerintahan gak akan pernah gue pilih,negative
cukup ini sdh mewakili yg pro sty outagar gk banyak bacot doang,neutral
ga nyangka ini bakal jadi momen terakhir kali sty melatih timnas indonesia terima kasih sty,positive
shin taeyong telah nenorehkan sederet prestasi dan rekor yang dicetaknya bersama timnas thanks sty pelatih timnas indonesia tersukses sejauh ini terimakasihsty stystay styout timnasindonesia,positive
bye coach sty semoga diambil negara asean laen biar indon makin nyesel,negative
sty dipecat pssi kalau pelatih baru buat timnas gak lolos kualifikasi piala dunia sumpah gue orang pertama akan langsung hujat mereka sesuai omongan semalem gue gk akan pilih mereka dalam hal jabatan apapun,negative
thank you coach sty making the impossible possible you ve made us enjoy watching this team again and savor every step of the journey up to this day shintaeyong,positive
statistik sty bersama senior pertandingan menang ‍ imbang kalah cetak gol kebobolan win rate,neutral
ini justru ngejawab kenapa sty diganti sisi pssi ngerasa udah effort buat naturalisasi banyak pemain eropa tapi dirasa belum bisa dimaksimalkan slek sama elkan baggott jadi fakta tambahan bukan benar salah tapi cara ngebaca arah organisasi,negative
throwback coach sty ngajarin latihan dasar sepak bola passing,neutral
wajar dia marah hari lalu mereka masih excited buat ngasih dukungan buat indonesia tiba tiba dipecat,negative
masih ga paham ama keputusan sty ini udh bisa bawa kita hampir ke pildun mau gmn lagi sih,negative
gak usah nunggu januari udah diumumin bang fabrizio romano but what the heck track record hello sty ngalahin jerman pake south korea ini patrick kluivert udah ngapain achievementnya sebagai pelatih apa,negative
sty eh ada donut tuh last day gue,neutral
sty tugasku sudah selesai aku hanya menjadi payung untukmu ketika hujan lebat dan sekarang hujan telah reda pergilah dan cari pelangimu,neutral
terimakasih atas dedikasi nya selama ini untuk sepak bola indonesia coach sty nama mu tentu akan di kenang oleh seluru rakyat indonesia sukses di mana pun kamu berada coach,positive
sty pulang ke korea yh berarti apa kmn sih,negative
ada yang lihat ini wkwk sty kirakira bilang apa ya,negative
sty be like,positive
stop publikasi sejak malam tadi kami sama sekali tidak tertarik untuk menonton dan membuat tweet perihal tommy welly namun pagi ini kami angkat sbg himbauan kedepannya untuk mengabaikan cuitan miring dari orang yg sentimen terhadap coach sty keinginan publik sudah,negative
ada yang perpanjang kontrak tapi bukan coach sty patrick walujo berkomitmen jadi dirut goto hingga,neutral
take as much time as you need going to be peak when we see the bat family on screen,neutral
when lincoln riley left ou i made a promise to myself that i would purchase a shirt of every team that beats him since that time i ve purchased a tulane oregon washington utah ucla notre dame michigan and now a minnesota shirt it s kinda getting expensive,neutral
thank you sty,positive
mempersembahkan sty entertainment,neutral
lu kalo mau ngomong andaikan sty menang match amp lolos piala dunia yang dipujipuji amp diteriakin namanya di stadion ya sty bukan et et maunya nama et yg dipujipuji amp diteriakin namanya di stadion mah ngomong aja,negative
jay idzes mengucapkan salam perpisahan untuk sty,neutral
halo sty,neutral
thank you sty thank you conceicao,positive
indon naikin pajak vietnam nurunin pajak indon kementrian gembrot vietnam pangkas kementrian indon pecat sty vietnam ambil sty,negative
belajar dari sty bahwa yg tulus uda nemenin dari nol bisa dibuang begitu saja,negative
mengapa anda mau melatih timnas indonesia luis milla karena timnas indonesia punya potensi besar sty karena saya mau indonesia berbicara di asia patrick kluivert saya lagi ada utang nih mas terus kemarin ada erik erik gitu ngadain wawancara yo wis saya coba eh keterima,negative
gue sering gedeg sama beberapa decision sty tapi kalo sampe harus pisah di momentum kayak gini rasanya too much amp not a smart move big thanks for everything coach lu udah bangun timnas dari minus sabar ngadepin segala drama you re the best coach we ve ever had,positive
how the dcu should approach the bat family thread,neutral
salah bang sty yg harus belajar dari kita kita di sini udah sering digituin lah sty,negative
calon pelatih baru timnas pengganti sty,neutral
beberapa spekulasi tentang nama pengganti sty mulai muncul salah satu yang nyaring terdengar adalah patrick kluivert,neutral
anaknya sty sampe bilang gini coooo,negative
seandainya timnas lolos world cup sama kluivert pun kita terima kasihnya sama sty,positive
terima kasih boikot timnas dulu sampe timnas ada di level ini lagi mental instan harus diubah sty bukan sekadar sosok dia yg wujudin proses itu sadar diri negara bobrok sepak bolanya kok mau target setinggi angkasa,negative
sty tolong coret semua pemain yg dman sama selebgram indo,negative
i don t like fake abs on superhero suits meanwhile dc characters in the comics,negative
yang harus diganti itu bukan sty tapi para boomer exco pssi,negative
udeh ye kerja seperlunya aja sty udah kasih contoh tuh,negative
pemecatan sty ini pengalihan isu dari kasus apa menurut kalian,negative
ini aneh bgt segimananya sty at least cv dia tuh berisi keliatan sebagai manager yg berpengalaman sedangkan cvnya patrick kluivert sebagai seorang manajer relatif kosong isinya cuman pernah jadi asistenyouth manager sekalinya jadi manager juga di negara kecil,negative
anaknya sty itu benerbener excited tiap ada pertandingan timnas apalagi waktu kenyataan bapaknya harus ngelawan korea kmren trs tiba tiba bapaknya dipecat dia mendem gimana bapaknya diperlakuin siapa yg ga marah bapaknya digituin,negative
he brought passion and vision under his way we started to believe again of a brighter future yet it feels like we failed to honor his dedication as though we didn t truly match the effort he made for us thank you coach sty,positive
yang patah tumbuh yang hilang berganti sty poroshalangid,neutral
sty adalah aku habis manis sepah dibuang,negative
jasa besar shin taeyong atas timnas indonesia pssi seharusnya tahu itu kalau evaluasi tentang bahasa okelah sty out tapi kalau evaluasi hasil aff artinya betapa gobloknya erick thohir kali ini,negative
menemani saat terpuruk mendukung saat mulai berjuang dan terbuang saat mulai terbang tinggi sty,negative
pssi resmi berpisah dengan shin taeyong bergabung jadi pelatih indonesia sejak desember sty sejatinya masih dalam trek menuju target masuk besar fifa dengan bonus beberapa capaian impresif timnas baik senior maupun kelompok usia terima kasih shin taeyong,positive
knp sty di pecat ya ges ada masalah kah soalnya aku yg g suka bola pun merasa prestasi timnas lg baiknya sama sty ini udh coba cek komen tp penuh buzzer,negative
tetap apresiasi kepada coach sty karena kita bisa sampek semi final udah jadi sejarah buat negara kita yok semngat masih ada perebutan juara ketiga agar kita mengamankan tiket olimpiade kata semangat buat coach sty dan timnas gaes,positive
terima kasih coach sty tidak pernah terpikirkan timnas punya pelatih sepertimu dan jasamu membawa timnas dan pemain sekelas verdonk,positive
menurut aku sty dipecat krn gak mau diintervensi makanya dicari kriteria seperti ini biar bisa dikendalikan,negative
sty ini akan selalu dikenang budi baiknya tidak demikian dengan organisasi yang memecatnya aneh bat emang logicnya,negative
terima kasih sty sudah membangun timnas indonesia,positive
kurang nurutin gimana lagi ama kemauan sty ini,negative
gw setuju sty out bkn karena benci lbh karena kasian udah bantu timnas dari nol lagi sampai ke titik ini dgn begitu bnyk pencapaiannya tapi orang malah kayak ga menghargai kinerjanya miskin taktik dan cm hoki lah bacot yg katanya lbh expert sepakbola setelah out pssi bisa,negative
ekspresi sty kenapa pas bgt sih,positive
sedihnya kaya diputusin pacar nnton video sty terimakasih coach speechless,negative
kalau kalah di r nanti orang pasti maklum ini udah capaian terjauh timnas udah kelihatan cara main dan mindset yg bener dari sty yg akan dimaki itu et coba sini share road map pengembangan sepak bola indo dulu deh pssi kontol,negative
sty pasti lagi ke indomaret benhil sambil minum golda dan dudukduduk di depan kursinya,neutral
salam perpisahan untuk coach sty,neutral
sty beli jco juga gak ya,neutral
wkwkwkwkwkw tolol adding the indonesian corporate shit values into decision making cuma karena mau datang di hari penting abaikan semua hal jadi dinilai serius goblok dikira karyawan biyuemen kali yang disuruh lembur manut aje tolol kalian tolol semua,negative
dipecat pssi sty join psht,negative
patrick kluivert set to sign as new indonesia head coach deal done years plus years option presentation to take place on january in indonesia the goal is to reach the world cup qualification,neutral
dia telah membawa indonesia hingga ke tahap ini dan begini kalian memperlakukannya kerja bagus pssi kalian akan menyesali keputusan kalian shin jaewon putra coach shin taeyong,positive
papa jadi sedih seindonesia juga sedih pak muhhhh kecuali orang dalem pssi,negative
pssi isinya mafia semua timnas di latih sama tukang judi presiden pelanggar ham berat wapres nepobaby ngelanggar pasal uu pemerintah asalasalan polisi pantek hukum makin ngaco what a country,negative
minimal punya malu,negative
sty dipecat pssi kalau pelatih baru buat timnas gak lolos kualifikasi piala dunia sumpah gue orang pertama akan langsung hujat mereka sesuai omongan semalem gue gk akan pilih mereka dalam hal jabatan apapun,negative
butuh nyali bersihkan dari tangantangan kotor insyaallah sepak bola indonesia bersih dan berprestasi,positive
sampai kapan pun masih relate aja ini tweet untuk pssi,negative
jasa besar shin taeyong atas timnas indonesia pssi seharusnya tahu itu kalau evaluasi tentang bahasa okelah sty out tapi kalau evaluasi hasil aff artinya betapa gobloknya erick thohir kali ini,negative
bung binder pelatih baru tersebut siapapun itu tidak bisa lagi memakai alasan percaya proses maaf gabisa lagi karena ini adalah tim yang sebetulnya sudah terbentuk jadi nanti yang saya harapkan adanya prestasi untuk pssi selamat menanggung beban,positive
hoax terbesar pssi,negative
mulai dari insiden bendera kebalik medali gak bisa disapu bersih dan ini terlepas cons federasi amp prestasi sepakbola kita at least jamuan kita masih lebih membanggakan untuk negara yg baru pertama kali jadi host sea games kamboja mungkin udah maksimal pssi,positive
rizky ridho beliau bukan sekedar pelatih tapi juga mentor orang tua teman dan panutan ia mendorong saya melampaui batas menanamkan kedisplinan membangun mental kuat dan membantu saya tumbuh menjadi seperti sekarang pssi ngga akan liat coach shin taeyong dari,positive
anak shin taeyong komen di instagram timnas banyak yang mau aku katakan tentang bagaimana pssi memperlakukan ayahku selama tahun tapi aku akan tetap diam waduhhh kalau dibongkar selesai tuh pssi,negative
resmi pssi berhentikan shin taeyong dari jabatannya sebagai pelatih timnas indonesia gamsahamnida coach shin,neutral
ga bisa lupa kanjuruhan,positive
rusak kalian rusak semua,negative
wkwkwkwkwkw tolol adding the indonesian corporate shit values into decision making cuma karena mau datang di hari penting abaikan semua hal jadi dinilai serius goblok dikira karyawan biyuemen kali yang disuruh lembur manut aje tolol kalian tolol semua,negative
dipecat pssi sty join psht,negative
patrick kluivert set to sign as new indonesia head coach deal done years plus years option presentation to take place on january in indonesia the goal is to reach the world cup qualification,neutral
papa jadi sedih seindonesia juga sedih pak muhhhh kecuali orang dalem pssi,negative
dia telah membawa indonesia hingga ke tahap ini dan begini kalian memperlakukannya kerja bagus pssi kalian akan menyesali keputusan kalian shin jaewon putra coach shin taeyong,positive
jasa besar shin taeyong atas timnas indonesia pssi seharusnya tahu itu kalau evaluasi tentang bahasa okelah sty out tapi kalau evaluasi hasil aff artinya betapa gobloknya erick thohir kali ini,negative
minimal punya malu,negative
pssi isinya mafia semua timnas di latih sama tukang judi presiden pelanggar ham berat wapres nepobaby ngelanggar pasal uu pemerintah asalasalan polisi pantek hukum makin ngaco what a country,negative
bung binder pelatih baru tersebut siapapun itu tidak bisa lagi memakai alasan percaya proses maaf gabisa lagi karena ini adalah tim yang sebetulnya sudah terbentuk jadi nanti yang saya harapkan adanya prestasi untuk pssi selamat menanggung beban,positive
resmi pssi berhentikan shin taeyong dari jabatannya sebagai pelatih timnas indonesia gamsahamnida coach shin,neutral
sty dipecat pssi kalau pelatih baru buat timnas gak lolos kualifikasi piala dunia sumpah gue orang pertama akan langsung hujat mereka sesuai omongan semalem gue gk akan pilih mereka dalam hal jabatan apapun,negative
butuh nyali bersihkan dari tangantangan kotor insyaallah sepak bola indonesia bersih dan berprestasi,positive
sampai kapan pun masih relate aja ini tweet untuk pssi,negative
hoax terbesar pssi,negative
anak shin taeyong komen di instagram timnas banyak yang mau aku katakan tentang bagaimana pssi memperlakukan ayahku selama tahun tapi aku akan tetap diam waduhhh kalau dibongkar selesai tuh pssi,negative
rusak kalian rusak semua,negative
mulai dari insiden bendera kebalik medali gak bisa disapu bersih dan ini terlepas cons federasi amp prestasi sepakbola kita at least jamuan kita masih lebih membanggakan untuk negara yg baru pertama kali jadi host sea games kamboja mungkin udah maksimal pssi,positive
ga bisa lupa kanjuruhan,positive
rizky ridho beliau bukan sekedar pelatih tapi juga mentor orang tua teman dan panutan ia mendorong saya melampaui batas menanamkan kedisplinan membangun mental kuat dan membantu saya tumbuh menjadi seperti sekarang pssi ngga akan liat coach shin taeyong dari,positive
resmi pssi berhentikan shin taeyong,neutral
cuma mau ngasih tau buat pssi erick thohir dan seluruh kaum kardus mie instan sir alex ferguson butuh tahun baru bisa meraih trofi pertamanya di manchester united lalu elo berharap shin taeyong membawa tim peringkat fifa juara piala dunia tolol,neutral
udah polisi kontol pemerintah kontol sekarang pssi ikutan kontol,negative
media korea ditunggu undangan podcastnya buat bongkar aib pssi,neutral
sty to pssi,neutral
cara simple liat ributribut soal shin taeyong mulai ribut dari kapan sejak timnas gagal di aff kenapa gagal di aff garagara pake u kenapa pake u karena pssi anggap aff sebagai persiapan sea games jadi salah siapa gagal salah pssi bukan sih,negative
hari patah hati nasional buat seluruh fans timnas indonesia,neutral
penjudi pengaturan score kriminal cocoknya jd anggota exco pssi ini mirip mirip,negative
reporter apa yang sebenernya menjadi pertimbangan pssi untuk memutus kontrak coach sty dan dinamika komunikasi seperti apa yg dihadapi hingga tak bisa menemukan titik temu already speechless silakan didengarkan jawabannya cnn indonesia,neutral
persatuan shibal sekiya indonesia pssi,neutral
it was years ago and still relevant,neutral
knetz ke pssi,neutral
ternyata yang merusak sepakbola kita bukan tetapi orangorang pssi dan internalnya,negative
daftar nama exco pssi kita lihat dulu besok press pssi gimana,neutral
lihat di ig semua warga indo berterimakasih dan memuji sepertinya ini hanya keserakahan pssi jadi dari pada berbenturan mengejek dan berkelahi dengan fans indonesia lebih baik fokus pada federasi dan mengkritik mereka jangan ngajak musuhan dan asal asalan membaca suasana,negative
pssi ini tolol bgt bukannya elu pada yang berbenah malah pelatih terus yg diganti yang salah dan jelek itu eluuuu pssi eluuu bukan orang lain makanya belajar intropeksi diri tolol,negative
ini justru ngejawab kenapa sty diganti sisi pssi ngerasa udah effort buat naturalisasi banyak pemain eropa tapi dirasa belum bisa dimaksimalkan slek sama elkan baggott jadi fakta tambahan bukan benar salah tapi cara ngebaca arah organisasi,negative
pemain timnas banyak dari belanda sekarang juga pelatihnya mau dari belanda gak mau sekalian ketua pssi dan jajaran exco dari belanda juga apa nih,negative
paham dong masa ga paham di pssi yang beneran kerja cuma ratu tisha yang lain mafia,negative
pssi pelatih baru akan diumumkan pada januari sty,neutral
,positive
terlalu sadis caramu pssi baru kali ini patah hati garagara orang korea paham shin taeyong tidak sempurna tapi nggak gini juga caranya kritik sana sini boleh tapi ngga dipecat juga paling nggak selesaikan kualifikasi piala dunia putaran baru di evaluasi,negative
sepertinya ini udah fix coach shin taeyong out jeje baru juga hehe justin hubner my team,neutral
innalillahi timnas indonesia innalillahi piala dunia pssi liat nanti,neutral
breaking pssi akan menunjuk louis van gaal sebagai direktur teknik timnas indonesia lvg akan berduet kembali dengan patrick kluivert yang didapuk sebagai pelatih,neutral
keputusan besar dari erick thohir dan pssi untuk berpisah dengan sty di balik semua itu pasti ada pertimbangan matang berdasarkan dinamika internal dan bukan semata hasil di lapangan hanya waktu yang akan menjawab apakah keputusan pssi tepat atau menjadi sebuah blunder,negative
kata gw mah dia datang ya karena pengangguran dan bu lagian sekelas petinggi masa hire utk jabatan krusial headcoach ga luat track record si skrg aja dimana liat backgrounddimintain skck yg ini udh banyak kasuswinrate hancur,negative
percaya aja sama et dan exco pssi setelah semua dagelan ini kenapa harus percaya,negative
pbsi pssi federasi olahraga indonesia emang gak ada yg bener,negative
menurut arya sinulingga kemenangan bersejarah timnas indonesia dari arab saudi akibat ancaman mundur erick thohir sbg ketum pssi keren ngancam aja terus pak et lebih keras gpp yg penting timnas bisa menang lawan australia bahrain china jepang dan lolos ke piala dunia,positive
ada beberapa kali lihat komen netizen thomas doll sepertinya cocok jadi opsi gantikan shin taeyong ngga tepat bukan karena kualitasnya tapi karena td ini pelatih yang susah diatur kalo a dia bilang a kalo b dia bilang b pssi mana mau punya pelatih model td begini,negative
,positive
ini sama ada masalah apa dengan mills kok baru selesai kontrak aja udah ngehapus logo apparel di postingan sosial media masa iya timnas italia atau figc kalo mau posting throwback juara euro kudu ngilangin logo puma manchester city kalo lagi,negative
bobrok banget organisasi gak jelas jelasjelas ratu tisha waketum yunus nusi waketum yn mundur lalu naiklah menteri pemuda yg tak muda lagi itu jadi waketum gantiin yn bisabisanya dia yg naik jadi waketum terus tisha digeser jadi waketum,negative
pssi go global sch,neutral
pak sumardji coach shin taeyong terima keputusan pssi dan ucapkan terima kasih atas kebersamaan selama tahun sty juga doakan indonesia lolos ke piala dunia,neutral
waduhhh komentar anak sty,negative
pelatih timnas indonesia shin taeyong yang baru saja diputus kontrak oleh pssi ternyata juga gemar kulineran berikut ini beberapa momen keseruan shin taeyong saat menikmati kuliner kesukaannya,positive
indonesian football team wanna copy messi sleeping with world cup but ended up creating a gay onlyfans promo picture,neutral
,positive
cerita bahagia sedih dan tawa kini telah usai perpisahan yang begitu menyakitkan terimakasih coach shin taeyong pssi tega banget sedih banget mana momen dan lagunya pas,negative
𝗛𝗼𝗿𝗺𝗮𝘁 𝘂𝗻𝘁𝘂𝗸 𝗜𝗻𝗱𝗼𝗻𝗲𝘀𝗶𝗮 fifaworldcup asianqualifiers 夢への勇気を samuraiblue jfa daihyo サッカー日本代表,neutral
komentar salah satu exco pssi terhadap coach sty di instagram komentarnya wahai netijen yang budiman,neutral
polling dulu kita sodara klen bangga atau malu jk pemain timnas pssi dihuni pemain naturalisasi malu rt bangga like polling dimulai,negative
pssi goblok towel asuuu,negative
kombinasi antara cities skylines x football manager maka jadilah panpel simulator ini emang kalo udah tua cocoknya main yg santai modelan tycoon begini ya capek main kompetitif mending cosplay jadi pssi aja copa city rilis di pc ps dan xbox xs,positive
dulu waktu jadi presiden inter beliau mecat mancini lalu ganti dengan frank de boer sekarang jadi ketum pssi bikin manuver lagi dengan mecat sty untuk ambil patrick kluivert sebenernya apa yang ada di kepala dia sih,negative
pssi goblok mending jaewon ngisi podcast ungkap aja tu semua bobroknya federasi goblok itu,negative
thank you coach for all the memories we ve shared in such a short time wishing you the very best for the future i believe pssi has made its decision with the best intentions for the future of indonesian football let s keep chasing our main goal world cup all,neutral
ketum pssi erick thohir menilai pergantian pelatih merupakan hal yang biasa meski indonesia masih berjuang di kualifikasi piala dunia,neutral
pssi nih beneran definisin gatau diri dimana lagi nemu kuch yang cari staff sendiri timnas dibilang gapunya striker sty bawa pelatih striker staff medis kekurangan sty ngajak dokter choi bener dah mari kita lihat bisa sejauh apa pssi nanti,negative
pssi persatuan shibal sekiya indonesia,neutral
kaget denger keputusan pssi tapi bukan berarti bakal berhenti dukung tim nasional indonesia siapapun pelatih berikutnya semoga bisa membawa timnas kita ke level yang lebih tinggi thank you for everything shin taeyong,positive
ketua umum pssi hari ini berkunjung ke rumah salah satu wasit liga yang karena tidak ada pertandingan juga berjuang berjualan kembang tahu di daerah jaksel,neutral
bang tunggu pssi bang,neutral
selamat sty udah lepas dari federasi ga tau diuntung,negative
timnas indonesia raih hasil positif di dua laga awal ronde kualifikasi piala dunia tetap dukung skuad garuda tapi jangan terlena karena masih banyak pekerjaan pssi yang belum selesai,positive
sekarang aku paham kenapa sty di out kan yap pssi nyari pelatih yg bisa diajak main sama mafia,negative
tidur nyenyak garuda nusantara kitagaruda,neutral
lagian belaga hebat banget pssi indonesia itu selevel apa sih rank an tembus afc jarang masuk round kualifikasi wc aja udh kyk keajaiban justru pelatih yang membawa kesuksesan buat timnas malah dipecat dasar tolol kalian semua jajaran pssi kolot,negative
bisa bahasa belanda mendidik disiplin dan sangat tegas mengantarkan x juara dunia mending ini ga sih,positive
share loc hitamkan pssi,negative
resmi ratu tisha mencalonkan diri sebagai wakil ketua umum pssi waketum pssi periode bukan ketum ya guys waketum goodluck,neutral
dear pssi,neutral
muncul gerak buzzer untuk menggiring opini buruk terhadap sty nama pelakunya di sebar volt anonymous yaitu m chandra p tidak ada terkaitan dengan bung towel ada kemungkinan serangan buzzer ini dari orang dalam pssi bandar judi atau dari anggota dpr yang tidak suka dengan sty,negative
nama yang ikut tender erigo nama yang menang tender erigo nama yang muncul dalam peresmian erspo nama yang muncul dalam laman pssi erigo sport nama yang disebutkan founder ergonomic sporty outfit sekarang muncul kabar erigo dan erspo nggak ada hubungan sama sekali ‍,neutral
pak muh menolak percaya,negative
voters pssi telah bersuara ketua umum pssi,neutral
,positive
untuk segala silang sengkarut sepak bola indonesia di masa lalu kini atau masa depan kita memang layak menyalahkan pssi lebih dulu dan dengan keberanian betapa instannya mereka mengambil keputusan sungguh kita berada di posisi lebih mudah untuk menunjuk hidung federasi,negative
kin malu emg pssi,negative
kemarin la nyalla bilang ingin menghancurkan mafia bola terutama di lingkaran internal pssi hari ini erick thohir bilang butuh nyali bersihkan pssi dari tangan kotor tubuh pssi ini isinya apa sih sebenarnya,negative
bjir stage tds kena spoiler dari ig pssi nct,neutral
pssi resmi berpisah dengan shin taeyong bergabung jadi pelatih indonesia sejak desember sty sejatinya masih dalam trek menuju target masuk besar fifa dengan bonus beberapa capaian impresif timnas baik senior maupun kelompok usia terima kasih shin taeyong,positive
lamalama gue buatin thread pemain yang udah post sty biar pssi tau kalo sty tuh seberharga itu buat mereka,neutral
terimakasih shin taeyong aff sea games aff u lolos piala asia lolos piala asia u lolos piala asia u lolos piala asia besar piala asia semifinal piala asia u sty stystay styout pssi,neutral
kabar baik bagi persepakbolaan indonesia pssi pada hari ini menginformasikan bahwa setelah melalui proses yang cukup lama dan ekstensif maarten paes akhirnya telah berhasil didaftarkan dan sekarang secara sah dapat bermain mewakili tim nasional indonesia dengan rasa cinta,positive
yang setuju pssi bubar boleh retweet,neutral
udah kak malu sama cabor lain,negative
buat yang bilang kok ini ikutikutan masalah bola dsb komisi x nih emang ada tugasnya mengenai hal ini kok jadi wajar jika dilakukan pemanggilan belum lagi pssi kan masih menggunakan sebagian dana dari pemerintah,negative
gen ask cara pssi tau pemain luar ada darah indonya gmn ya tb kepikiran gt apa si pemainnya yg mengajukan diri atau pssi yg nyari,negative
kalau pengganti sty ga bisa main lebih baik dari ini langsung out aja deal ya,neutral
sakit hati bgt shin taeyong dipecat capek push rank fifa buat timnas lolos piala asia diprhitungkan di kualifikasi pildun eh malah dibuang kyk sampah pdhl yg sampah tuh pssi coach sty thank u for everything smga nanti di tmpat bru lbh dihargai,negative
noo ahjussi your legacy will remain forever gobloookkk,negative
kayaknya bener gara ga sevisi sama pssi sty citacita sepakbola indo untuk jangka panjang pssi mau yang instan,negative
saya ingin fokus di pssi dan bumn,neutral
gw dukung deh apapun keputusan pssi terkait sty tapi kalo performa timnas setelah sty dipecat lebih buruk dan ga lolos round kualifikasi pildun gw makimaki sampe kiamat tu asosiasi,negative
